mach,alpha_deg,beta_deg,flap_deg,CL,CD,Cl_roll,Cm,Cn_yaw
2,30,-10,10,1.3937990991602707,0.76019501903252906,1.8615043403170104e-17,0.76632644193862165,0.1319420992148288
2,30,-10,15,1.3252509698369648,0.72582701029871755,1.7063789786239262e-17,0.59022407167026203,0.1319420992148288
2,30,-5,-15,1.74898670801349,1.2337039660158928,3.1025072338616841e-17,2.2260259606073807,0.064298771694023441
2,30,-5,-10,1.6915269600598839,1.0972469616797957,3.1025072338616841e-17,1.9004294168483129,0.064298771694023441
2,30,-5,-5,1.6185924136687715,0.97798578962976257,1.8615043403170104e-17,1.5779043527171133,0.064298771694023441
2,30,-5,0,1.5364002150774432,0.87917340570639957,2.4820057870893473e-17,1.2736490463083958,0.064298771694023441
2,30,-5,5,1.4516520464188627,0.80236177212236437,2.4820057870893473e-17,1.0010607031737899,0.064298771694023441
2,30,-5,10,1.3710690423015468,0.74733553148291176,2.3268804253962631e-17,0.77091342622199466,0.064298771694023441
2,30,-5,15,1.3009265583443428,0.71216816039561903,2.3268804253962631e-17,0.59071510712396802,0.064298771694023441
2,30,0,-15,1.7434593544378707,1.2326350197695721,3.7230086806340209e-17,2.2384001417735284,9.3075217015850522e-18
2,30,0,-10,1.6855597942750247,1.0951335371912159,1.8615043403170104e-17,1.9103113953798976,1.0858775318515894e-17
2,30,0,-5,1.6120669874473379,0.97495950837755596,3.7230086806340209e-17,1.585317638536974,1.0858775318515894e-17
2,30,0,0,1.5292456678846837,0.8753907881592855,3.1025072338616841e-17,1.2787334810063826,1.0943609500691799e-17
2,30,0,5,1.4438488141793675,0.79799121788104221,2.4820057870893473e-17,1.00405867411799,1.105268202063225e-17
2,30,0,10,1.3626490062936696,0.74254379174524254,2.6371311487824315e-17,0.77214978863271722,1.0470961914283184e-17
2,30,0,15,1.2919696330891333,0.70710724023649196,2.8698191913220578e-17,0.59057218362331332,1.0470961914283184e-17
2,30,5,-15,1.7489867080134909,1.2337039660158933,3.1025072338616841e-17,2.2260259606073807,-0.06429877169402351
2,30,5,-10,1.6915269600598846,1.0972469616797962,3.1025072338616841e-17,1.9004294168483129,-0.06429877169402351
2,30,5,-5,1.6185924136687724,0.97798578962976301,3.1025072338616841e-17,1.5779043527171133,-0.06429877169402351
2,30,5,0,1.5364002150774438,0.87917340570640001,3.1025072338616841e-17,1.273649046308396,-0.06429877169402351
2,30,5,5,1.4516520464188636,0.80236177212236481,3.1025072338616841e-17,1.0010607031737901,-0.06429877169402351
2,30,5,10,1.3710690423015477,0.74733553148291221,3.2576325955547683e-17,0.77091342622199488,-0.06429877169402351
2,30,5,15,1.3009265583443435,0.71216816039561948,2.9473818721685999e-17,0.59071510712396824,-0.06429877169402351
2,30,10,-15,1.7631266102673802,1.2355081882878769,2.4820057870893473e-17,2.1883639370446044,-0.13194209921482886
2,30,10,-10,1.7069729354700705,1.1021528827356977,3.1025072338616841e-17,1.8701682768732917,-0.13194209921482886
2,30,10,-5,1.6356962079278152,0.98560254428571259,1.8615043403170104e-17,1.554974280898437,-0.13194209921482886
2,30,10,0,1.5553722567280992,0.88903618835147447,1.551253616930842e-17,1.2576347668924608,-0.13194209921482886
2,30,10,5,1.4725504332428319,0.81397050069112065,2.4820057870893473e-17,0.99124241887385645,-0.13194209921482886
2,30,10,10,1.3937990991602709,0.76019501903252917,2.1717550637031789e-17,0.76632644193862198,-0.13194209921482886
2,30,10,15,1.325250969836965,0.72582701029871766,2.3268804253962631e-17,0.59022407167026236,-0.13194209921482886
2,40,-10,-15,2.3647674565399166,2.3014784135158224,2.4820057870893473e-17,2.9975562799010094,0.15413331333271033
2,40,-10,-10,2.3531367326327186,2.1496940341665369,2.4820057870893473e-17,2.6876678437664276,0.1541333133327103
2,40,-10,-5,2.3172850866237815,2.0041947165489722,2.4820057870893473e-17,2.357609428880393,0.1541333133327103
2,40,-10,0,2.26113141182647,1.870839410996791,1.8615043403170104e-17,2.0232349150528983,0.1541333133327103
2,40,-10,5,2.1898546842842146,1.7542890725468059,1.8615043403170104e-17,1.6999247861707885,0.1541333133327103
2,40,-10,10,2.109530733084501,1.6577227166125696,1.8615043403170104e-17,1.4016320765089461,0.1541333133327103
2,40,-10,15,2.026708909599233,1.5826570289522151,2.1717550637031789e-17,1.1400295741069084,0.1541333133327103
2,40,-5,-15,2.3689234353170501,2.3146925197865449,4.9640115741786945e-17,3.0553530438964285,0.076567011769524601
2,40,-5,-10,2.3570221934724565,2.1593778015212659,4.3435101274063577e-17,2.738256941133745,0.076567011769524587
2,40,-5,-5,2.320336677327143,2.0104943286603341,3.1025072338616841e-17,2.4005217279393514,0.076567011769524587
2,40,-5,0,2.2628769293735367,1.8740373243242372,4.3435101274063577e-17,2.0583700280552737,0.076567011769524587
2,40,-5,5,2.1899423829824247,1.754776152274204,3.7230086806340209e-17,1.7275400586281657,0.076567011769524587
2,40,-5,10,2.1077501843910964,1.6559637683508406,4.3435101274063577e-17,1.4223093862735114,0.076567011769524587
